PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,TEU,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS & NUMBERS,IMPORTER ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,DISTRIBUTION PORT,MASTER B/L,VOYAGE NUMBER,SEAL,SHIPMENT REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
FROZEN MSC ALASKA POLLOCK FILLETS,HIGH LINER FOODS (USA) INCORPORATED,HIGH LINER FOODS INC,"YANTAI YONGYUAN FOODSTUFF CO.,LTD.",2025-12-30,2,58300,26500,Pusan,"Norfolk, Virginia",ZIM MOUNT RAINIER,South Korea,N/M,"1 HIGHLINER AVENUE PORTSMOUTH, NEW HAMPSHIRE 03801",DAJIJIA YANTAI E.T.D.Z. SHANDONG CH INA,03801,1,CXRU1402226,45R1,1234,CTN,0,CM,VCLYPANW9037314,H,,MEDUR9037314,10E,FX42589847,HONG KONG,,VCLY,,,,,,SAMSKIP LOGISTICS,"40 PEARL STREET BRAINTREE, MA 02184",QINGDAOCHINA
FROZEN HADDOCK FILLETS FROZEN ALASKA POLLOCK BLOCK,HIGH LINER FOODS (USA) INCORPORATED,HIGH LINER FOODS INC,"YANTAI CHENYANG FOOD CO., LTD",2025-12-30,2,59382,26992,Pusan,"Norfolk, Virginia",ZIM MOUNT RAINIER,South Korea,N/M,"1 HIGHLINER AVENUE PORTSMOUTH, NEW HAMPSHIRE 03801","1010 HAINUO BUILDING, CHANGJIANG RO AD, YANTAI ETDZ, 264006 P. R. CHINA",03801,1,TEMU9228300,45R1,3640,CTN,0,CM,VCLYPANW9037702,H,,MEDUR9037702,10E,FX43972620,HONG KONG,,VCLY,,,,,,SAMSKIP LOGISTICS,"40 PEARL STREET BRAINTREE, MA 02184",QINGDAOCHINA
FROZEN ALASKA POLLOCK FILLETS THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL. SET TEMP:- 'C VENT:CLOSED,QUARTZ LOGISTICS NY INC,QUARTZ LOGISTICS INC,SHANGHAI ATLANTIC GATE FORWARDING L,2025-12-30,2,58300,26500,Pusan,"Norfolk, Virginia",ZIM MOUNT RAINIER,South Korea,N/M SAME SAME,182 23 150TH AVE 2ND FLR STE E SPRINGFIELD GARDENS NY 11413 UNITED,ROOM 1904-05 INTERNATIONAL CAPITAL SHANGHAI 31 200000 CHINA,11413,1,CXRU1402226,45R1,1234,CTN,40,X,MEDUR9037314,M,,,10E,FX42589847,SINGAPORE,,MEDU,MSC MEDITTERRANEAN SHIPPING COMPANY SA,GENEVA,,,,QUARTZ LOGISTICS NY INC,182 23 150TH AVE 2ND FLR STE E SPRINGFIELD GARDENS NY 11413 UNITED,QINGDAO
FROZEN HADDOCK FILLETS THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL. SET TEMP:- 'C VENT:CLOSED / FROZEN ALASKA POLLOCK BLOCK THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL. SET TEMP:- 'C VENT:CLOSED,QUARTZ LOGISTICS NY INC,QUARTZ LOGISTICS INC,SHANGHAI ATLANTIC GATE FORWARDING L,2025-12-30,2,59382,26992,Pusan,"Norfolk, Virginia",ZIM MOUNT RAINIER,South Korea,N/M SAME SAME N/M SAME SAME,182 23 150TH AVE 2ND FLR STE E SPRINGFIELD GARDENS NY 11413 UNITED,ROOM 1904-05 INTERNATIONAL CAPITAL SHANGHAI 31 200000 CHINA,11413,1,TEMU9228300,45R1,3640,CTN,55,X,MEDUR9037702,M,,,10E,FX43972620,SINGAPORE,,MEDU,MSC MEDITTERRANEAN SHIPPING COMPANY SA,GENEVA,,,,QUARTZ LOGISTICS NY INC,182 23 150TH AVE 2ND FLR STE E SPRINGFIELD GARDENS NY 11413 UNITED,QINGDAO
"FISH FILLET,MEAT FRE/CHI/FRO, OTHER AND OTHER FROZEN FISH FILLETS, OTHER THAN ABOVE KS WILD ALASKAN SOCKEYE SALMON",ORCA BAY FOODS LLC,ORCA BAY FOODS LLC,"COSTCO WHOLESALE TAIWAN, INC.",2025-12-30,2,17521,7964,Kaohsiung,"Tacoma, Washington",CORNEILLE,China Taiwan,NO MARKS,". 2729 6TH AVE S., SUITE #200 SEATTLE , WA WA 98134 US",". NO. 656, ZHONGHUA 5TH RD., QIANZHEN DIST., KAOHSIU KAOHSIUNG CITY 806 TE 61 TW",98134,1,ONEU9130700,4FR0,5544,PKG,30,CM,ONEYTPEF84404300,,,,010E,T10A621648 TW51170AC,LIBERIA,,ONEY,ORATEL NETWORKS,TORONTO,ON,M5X 1C7,100 KING STREET WEST SUITE 5700,BINEX LINE CORP.,. 19515 S. VERMONT AVE TORRANCE CA 90 502 US,KEELUNG
"FISH FILLET,MEAT FRE/CHI/FRO, COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS) AND FROZEN COD FILLETS, SKINNED, IN BLOCKS WEIGHING OVER . KG, TO BE MINCED, GROUND OR CUT INTO PIECES OF UNIFORM WEIGHT AND DIMENSION KS WILD ALASKAN COD, KS WLD ALASKAN SMOKED / SALMON (INCL. FILLETS), SMOKED AND SMOKED PACIFIC, ATLANTIC AND DANUBE SALMON, INCLUDING FILLETS KS WILD ALASKAN COD, KS WLD ALASKAN SMOKED",TRIDENT SEAFOODS CORPORATION,TRIDENT SEAFOODS CORPORATION,"COSTCO WHOLESALE TAIWAN, INC.",2025-12-30,1,7850,3568,Kaohsiung,"Tacoma, Washington",CORNEILLE,China Taiwan,NO MARKS NO MARKS,". 5303 SHILSHOLE AVE NW, SEATTLE, WA 98107 SEATTLE, WA WA 98107 US",". NO. 656, ZHONGHUA 5TH RD., QIANZHEN DIST., KAOHSIU KAOHSIUNG CITY 806 TE 61 TW",98107,1,SEGU9934173,2CR0,4224,PKG,14,CM,ONEYTPEF86482400,,,,010E,T10A621647 TW51214AC,LIBERIA,,ONEY,ORATEL NETWORKS,TORONTO,ON,M5X 1C7,100 KING STREET WEST SUITE 5700,BINEX LINE CORP.,. 19515 S. VERMONT AVE TORRANCE CA 90 502 US,KEELUNG
"ALASKA STRONG ALASKA STRONG , , GSM HS CODE ALASKA STRONG ALASKA STRONG , , GSM HS CODE ALASKA STRONG ALASKA STRONG , , GSM HS CODE ALASKA STRONG ALASKA STRONG , , GSM HS CODE ALASKA STRONG ALASKA STRONG , , GSM HS CODE ALASKA STRONG ALASKA STRONG , , GSM HS CODE",MM BOARD & PAPER USA INC.,MM BOARD & PAPER USA INC,MM KOTKAMILLS BOARDS OY,2025-12-30,12,275480,125218,Stade,"New York/Newark Area, Newark, New Jersey",MAERSK PUELO,Germany,MMP INVENTORY . . MMP INVENTORY . . MMP INVENTORY . . MMP INVENTORY . . MMP INVENTORY . . MMP INVENTORY . .,5126 SOUTH ROYAL ATLANTA DRIVE GA 30084 TUCKER USA,P.O. BOX 62-63 FI-48101 KOTKA FINNLAND,30084,6,BEAU4990948 FANU1085457 FANU1774420 FCIU7496994 HAMU4620848 HAMU4271622,4510 4510 4510 4510 4510 4510,108,PCS,0,,HLCUHAM251130591,,,,550W,HLD0268820 HLD1341976 HLD0268826 HLD0268804 HLD1341955 HLD0268830,PANAMA,,HLCU,HAPAG LLOYD A G,HAMBURG,,,399 HOES LN,JOHN A. STEER CO.,"2100 CORAL WAY, SUITE 501 MIAMI, FLORIDA USA EMAIL D.PROCACCINOJASTEER.COM","KOTKA, FI"
"ALASKA BRIGHT ALASKA BRIGHT , STRONG HS CODE",MM BOARD & PAPER USA INC.,MM BOARD & PAPER USA INC,MM KOTKAMILLS BOARDS OY,2025-12-30,2,45756,20798,Stade,"New York/Newark Area, Newark, New Jersey",MAERSK PUELO,Germany,MMP INVENTORY . .,5126 SOUTH ROYAL ATLANTA DRIVE GA 30084 TUCKER USA,P.O. BOX 62-63 FI-48101 KOTKA FINNLAND,30084,1,HAMU3030180,4510,18,PCS,0,,HLCUHAM251150540,,,,550W,HLD1341969,PANAMA,,HLCU,HAPAG LLOYD A G,HAMBURG,,,399 HOES LN,JOHN A. STEER CO.,"2100 CORAL WAY, SUITE 501 MIAMI, FLORIDA USA EMAIL D.PROCACCINOJASTEER.COM","KOTKA, FI"
ALASKA WHITE ALASKA WHITE + ALASKA WHITE ALASKA WHITE + ALASKA WHITE ALASKA WHITE + ALASKA WHITE ALASKA WHITE + ALASKA WHITE ALASKA WHITE + ALASKA WHITE ALASKA WHITE + ALASKA WHITE ALASKA WHITE +,MM BOARD & PAPER USA INC.,MM BOARD & PAPER USA INC,MM BOARD & PAPER SALES GMBH,2025-12-30,14,320307,145594,Wilhelmshaven,"New York/Newark Area, Newark, New Jersey",MAERSK PUELO,Germany,NO MARKS . NO MARKS . NO MARKS . NO MARKS . NO MARKS . NO MARKS . NO MARKS .,"5126 SOUTH ROYAL ATLANTA DRIVE, TUCKER, GA 30084 USA",BRAHMSPLATZ 6 1040 VIENNA AUSTRIA,30084,7,HLBU1203305 FANU3194605 HAMU1644996 HAMU4039392 HAMU5084502 FDCU0147394 HAMU1621603,4510 4510 4510 4510 4510 4510 4510,291,PCS,0,,HLCUHAM2510BNLA8,,,,550W,HO464546 799819 779217 779288 800106 800143 781678,PANAMA,,HLCU,HAPAG LLOYD A G,HAMBURG,,,399 HOES LN,JOHN A. STEER CO.,"2100 CORAL WAY, SUITE 501 MIAMI, FLORIDA USA EMAIL D.PROCACCINOJASTEER.COM","KWIDZYN, PL"
ALASKA WHITE ALASKA WHITE +,MM BOARD & PAPER USA INC.,MM BOARD & PAPER USA INC,MM BOARD & PAPER SALES GMBH,2025-12-30,2,47271,21487,Wilhelmshaven,"New York/Newark Area, Newark, New Jersey",MAERSK PUELO,Germany,NO MARKS .,"5126 SOUTH ROYAL ATLANTA DRIVE, TUCKER, GA 30084 USA",BRAHMSPLATZ 6 1040 VIENNA AUSTRIA,30084,1,HLBU3430606,4510,43,PCS,0,,HLCUHAM2511BGZY0,,,,550W,S1191537,PANAMA,,HLCU,HAPAG LLOYD A G,HAMBURG,,,399 HOES LN,JOHN A. STEER CO.,"2100 CORAL WAY, SUITE 501 MIAMI, FLORIDA USA EMAIL D.PROCACCINOJASTEER.COM","KWIDZYN, PL"
